Serial Number,Comment,Author
78,"Bihar ka capital hai na Patna , Capital ka hi aisa haal to baki place ka to kya hi bolu😂 . Ye Nitish dogla capital ko bhi develop nahi kar paaya itne saalo se 😂<br>Abhi minimum 10 saal lagega metro banne me ya fir ye Nitish dogla raha to aur bhi jyada",@Anonymous-on1fw
79,Bakhtiyarpur se Rajauli 4 lane road ka update karo,@AnkitKumar.76
80,Nice,@amitkumar-ws7mo
81,Dhyan rakhna bro Kahi iss metro ko hin na chura le jaye bihar balo ne🤣🤣🤣,@Vibesofalok
82,Paan stains everywhere 😂😂😂😂😂,@booksquotes948
83,"I request all concerned members, kindly initiate eight lane express road in Patna asap.",@Time-heals_everything9
84,हम हैं patna balla,@raushankukuday5k954
85,Your video is the best ever,@Manishkumar-lu9vu
86,बहुत अच्छा लगा भाई 🎉<br><br>क्या आप बतिएगा किस ड्रोन की सहायता से आपने इतना अच्छा वीडियो बनाया है।,@apnatime6665
87,Mere Bihar ke sabhi brother sister ko mera humble request hai iss baar vote BJP candidate ko do jo deserve karta hai. Jo Bihar ko develop karega. Bihar mein progress karega. Aab se caste dekhke vote mat do please. Lots of love and huge respect to Bihar and Bihari people from Delhi. ❤❤<br>Jai Shree Ram and Jai Hind 🚩🚩🙏🙏,@robb2024
88,Very slow city,@mahboobalam2644
89,Nice video,@iftekharahsan5513
90,"Bihar me Road 2 lane se jyada nahi bun raha hai,,,Aaj dusre state me 6 lane aur 8 lane par kaam ho raha hai jo purana road hai uska chaurikaran ho raha hai,,Lekin Bihar Sarkar kuchh nahi kar raha hai,,Patna west ka rural area ka road ka bahut bura haal hai,,Law and order finish hai,,,,Nitish sarkar sabse bekar..",@AftabEqbal-c2k
91,Saguna more ka bhi dikh dijiye,@AjeetChaurasiya.
92,Good initiative Bhaiya,@shyamyadav7570
93,Jai Ma Bharati  🇮🇳🔱🚩✌️,@sayanmandal1936
94,Indore our Bhopal metro ka update,@mohammadIrfan-nf1ny
95,Awesome Love u Patna ❤From Patna 😊,@HealthCareHomoeoPharmacy
96,"But boring road, belly road ,pattliputra yye sab kaha gaya bhai",@sachinsingh8508
97,Begusarai meto banao,@Thakurvikas
98,Bihar me sirf patna ka vikash ho rha hai baki zilla ko toh sirf loota ja rha hai😂,@jugeshkumar9228
99,Nice &amp; detailed video truly,@smallworld1427
100,"Do not show fake video,",@sonalisingh6308
101,Bihar ek developing state hai. Ab samay aa gaya hai bihar mein bohot sare industries lane ka👍,@Truthhurts321
102,Garib Bihari ko fir dokha,@AzadKhan-wx1ht
103,Bihar me bahar hai😂😂😂,@shailendrasingh007U
104,Drone  shoot ke liye kinse permission liye the bhaiya.?,@aryaeducation6987
105,"जय बिहार, नितीश कुमार",@Surajkiduniya8032
106,Great work sir but i want to correct you on malahi pakri metro station location as it was supposed to build 100m ahead of where you are indicated. All the best🎉,@ehteshamnawaz589
107,Ur voice 😂😂😂😂😂😂😂 bihhhhaaarrrr,@brunokumar7511
108,Nitish Kumar is doing increadble work 🙏🙏🙏🙏🙏,@sonumahato588
109,Nice my City is developing 👌👌👌👌👌,@sonumahato588
110,Thanks 🎉🎉,@kumar_dkyt
111,Allah hu akbar wale like kare,@BhgwaTrapAwarenesNoori
112,Modi hai to mumkin hai.,@virenderaggarwal3935
113,Metro in front of agriculture field!!<br>Just Bihar things.,@adithya8660
